481	734	650	535	237	814	168
751	321	590	23	307	677	727
284	870	249	712	340	528	132
389	284	177	295	958	940	862
927	464	381	173	563	2	713
32	111	990	398	66	201	752
670	539	253	731	375	425	761
601	793	659	854	726	702	491
74	262	104	811	866	437	671
782	743	963	159	5	456	533
463	220	933	719	391	632	979
639	501	418	236	671	25	534
95	948	774	644	256	690	670
980	305	869	828	127	672	912
401	149	298	714	715	522	729
67	937	769	387	796	660	206
828	417	545	96	480	867	378
620	760	301	608	481	309	685
402	759	891	407	940	499	203
768	932	647	925	272	735	209
302	997	259	379	464	9	345
160	503	414	404	518	896	125
398	125	287	297	431	136	713
578	704	813	699	257	397	45
376	793	562	349	18	260	734
138	524	419	13	396	938	148
268	922	945	467	58	350	95
900	766	967	790	907	739	86
796	693	202	306	332	12	401
44	702	917	490	72	149	681
751	887	937	899	280	391	705
517	706	487	727	969	637	716
238	145	235	852	620	59	188
757	837	539	334	10	879	532
938	817	935	142	247	299	698
561	261	650	913	618	955	482
956	365	457	74	136	415	813
77	407	580	762	801	458	743
99	833	892	956	213	946	711
370	689	994	874	774	594	521
140	150	370	991	754	617	303
890	644	930	462	118	695	342
900	841	741	104	218	124	405
287	308	717	12	57	272	587
20	192	280	103	691	238	362
868	140	761	566	720	283	723
866	774	570	824	621	662	736
489	8	876	629	521	655	174
191	577	155	996	462	430	104
110	106	227	222	272	338	3
781	253	985	233	677	772	942
711	702	810	652	982	709	184
902	763	653	349	939	753	112
322	941	715	670	390	561	803
817	124	560	33	19	104	341
409	839	469	851	489	327	979
360	505	355	937	846	852	315
859	696	971	881	613	602	30
972	234	841	710	962	429	271
404	453	860	191	980	513	714
632	10	336	41	62	926	486
435	165	983	287	27	790	565
756	670	890	105	734	10	154
649	311	117	462	395	571	975
215	844	136	509	644	675	713
481	259	81	340	863	372	636
726	653	583	918	398	501	542
683	756	323	448	787	588	548
524	601	352	425	998	379	72
753	580	102	606	170	242	587
655	517	28	414	967	806	268
97	675	223	268	612	495	348
261	145	939	614	929	111	628
832	522	87	781	386	436	291
906	917	914	292	485	630	961
685	905	708	670	209	702	730
226	79	329	397	828	14	869
74	198	649	120	423	969	751
725	679	638	798	647	793	55
412	22	105	186	466	121	576
526	551	754	228	92	167	565
782	905	682	333	446	645	524
931	669	944	193	932	201	257
202	109	283	945	688	934	948
411	394	428	281	363	681	222
464	408	61	315	236	573	479
610	337	474	499	555	886	548
778	86	450	562	286	624	964
24	904	857	715	667	74	948
42	11	73	477	56	8	320
765	724	215	651	627	806	662
195	413	246	154	572	638	938
456	19	120	925	345	815	323
906	833	828	173	269	555	192
557	774	394	120	360	534	674
351	897	35	733	71	854	784
967	966	387	876	396	898	229
134	901	227	583	817	596	320
186	458	322	793	916	236	179
666	480	231	493	66	447	148
115	789	862	328	492	218	155
681	948	936	78	678	247	453
402	668	610	891	921	814	735
151	303	167	579	975	81	474
60	432	702	529	452	457	367
836	642	856	974	132	647	916
99	33	924	909	345	293	18
904	660	713	528	626	727	100
753	129	191	199	519	282	750
233	31	12	447	317	700	144
399	242	531	67	816	429	921
652	737	428	255	128	518	704
633	99	664	527	583	665	248
512	129	487	850	349	390	274
561	889	250	696	962	859	88
485	943	183	813	406	765	334
857	228	795	240	846	324	573
553	989	817	182	704	91	342
183	432	59	520	173	680	763
708	770	749	559	144	536	159
787	247	153	731	558	961	215
627	433	584	664	23	609	170
799	914	287	808	446	312	72
265	946	600	131	183	209	52
215	400	966	59	321	563	706
373	598	493	137	882	131	149
632	741	288	565	623	958	266
468	247	489	907	700	541	752
591	767	242	949	348	242	658
923	802	867	884	729	725	247
904	24	988	703	426	107	861
712	23	37	793	878	232	562
156	639	11	484	215	848	396
47	325	931	92	532	704	877
367	397	246	638	56	163	749
547	834	787	446	781	664	161
