144;152;183;31
280;280;280;280
56;234;151;205
192;192;192;192
21;50;131;50
285;273;129;184
90;122;230;9
139;139;139;139
12;135;119;142
112;56;112;241
181;22;89;257
136;59;160;288
96;41;163;96
93;156;170;112
247;207;13;207
91;142;40;127
40;208;170;143
231;231;231;231
126;275;9;104
257;221;112;247
121;121;121;121
158;158;186;67
121;38;177;47
47;47;173;176
129;129;129;129
57;152;257;257
212;221;84;202
109;208;233;16
172;215;237;62
249;249;84;251
152;102;283;60
101;155;87;285
295;295;295;295
156;156;156;156
150;150;150;150
294;46;217;153
218;138;12;237
296;154;50;84
66;293;29;267
137;238;167;98
271;271;271;271
191;93;152;162
199;102;182;180
149;13;149;282
223;260;260;54
242;147;242;153
77;127;61;34
232;295;242;284
267;87;45;113
258;237;300;78
95;95;289;291
182;37;41;293
190;271;213;145
194;106;101;37
8;117;48;40
281;79;125;51
273;233;77;247
224;224;224;224
60;10;44;157
81;61;35;229
32;232;112;163
284;284;284;284
150;134;246;46
281;274;96;274
150;260;150;164
128;207;147;128
275;169;171;171
44;114;86;119
41;30;194;264
110;5;265;190
153;76;115;52
160;160;160;160
238;135;257;252
198;212;99;170
31;154;169;248
112;99;112;155
14;288;199;14
255;255;255;255
133;133;133;133
94;96;121;296
237;237;103;92
129;129;129;129
40;238;147;201
194;282;299;178
250;241;85;246
218;249;218;202
155;292;58;173
145;120;105;145
106;236;229;220
271;224;55;201
109;97;56;174
225;251;212;251
212;125;283;101
145;137;137;89
157;63;44;39
156;17;203;240
269;191;226;180
144;108;106;237
100;286;179;187
172;172;172;172
257;152;52;196
271;75;87;149
92;156;281;92
21;21;21;21
131;131;131;131
238;238;238;238
231;63;273;102
68;68;68;68
161;156;189;94
130;130;130;130
64;209;146;136
147;153;18;24
17;140;179;50
111;216;291;100
195;216;49;102
286;294;296;88
34;252;179;279
229;229;229;229
280;280;280;280
162;162;162;162
291;291;291;291
164;164;164;164
293;300;41;258
263;263;263;263
201;7;163;55
11;11;222;245
25;69;131;131
282;282;128;279
276;94;113;94
70;70;70;70
160;251;251;262
18;160;192;143
49;265;37;175
270;270;270;270
233;215;255;48
88;88;88;88
268;299;179;206
150;226;101;124
297;121;53;105
53;53;53;53
91;144;221;45
135;110;70;127
49;40;279;183
234;78;85;186
48;274;298;298
168;204;31;73
33;7;142;33
121;146;118;49
239;214;15;113
75;75;75;75
110;110;110;110
7;254;254;183
251;20;276;268
293;164;149;164
146;10;26;93
208;208;208;208
130;130;130;130
205;144;212;34
178;71;249;206
267;267;267;267
140;140;140;140
263;260;260;232
116;47;110;166
182;277;39;133
239;75;223;80
114;114;114;114
172;197;93;230
136;105;172;51
44;44;44;44
195;195;195;195
128;86;283;128
235;149;204;229
139;139;139;139
240;240;240;240
58;66;267;67
131;279;279;205
25;255;165;100
243;237;233;102
226;139;152;248
30;30;30;30
198;286;59;155
133;243;54;243
143;135;295;109
224;259;107;35
112;58;125;58
180;74;200;252
292;131;130;197
11;229;164;11
83;275;280;266
52;52;52;52
227;226;100;226
214;214;214;214
240;121;136;43
242;122;38;73
195;193;256;72
299;96;46;202
231;231;231;231
55;227;154;46
169;253;38;191
166;166;166;166
183;114;79;226
40;52;166;258
234;40;219;170
224;50;95;161
145;145;145;145
41;237;33;137
173;173;136;60
182;290;221;182
186;236;115;18
123;61;55;99
256;32;292;85
248;276;284;21
101;141;143;46
89;89;89;89
207;50;249;207
251;82;82;127
38;296;38;41
14;247;98;98
164;273;178;214
82;56;101;10
31;295;194;31
185;168;82;291
112;38;14;133
188;47;81;89
8;8;8;8
105;105;105;105
46;79;79;120
36;160;114;152
289;226;40;134
268;244;179;268
236;17;264;19
106;106;106;106
67;63;98;276
251;256;274;190
242;95;31;81
264;293;215;61
43;94;137;43
22;33;96;251
199;195;101;40
59;186;216;216
98;286;280;61
66;10;54;235
228;22;35;275
73;176;131;20
288;174;91;276
262;198;48;48
20;20;20;20
247;110;5;117
246;246;246;246
20;249;265;20
28;28;28;28
289;92;180;59
139;283;169;11
193;193;193;193
189;154;95;224
28;228;264;228
274;43;216;109
169;278;275;220
67;67;67;67
256;10;71;143
105;105;105;105
197;11;226;115
130;36;132;99
155;149;241;21
171;86;222;66
132;132;132;132
139;153;237;154
155;155;155;155
89;89;89;89
40;40;40;40
14;217;169;297
247;59;59;227
52;19;27;143
258;293;116;293
238;238;238;238
115;58;218;62
16;51;16;94
210;205;97;97
74;300;33;244
216;166;94;63
101;21;138;130
187;187;225;264
84;84;84;84
56;160;238;16
297;168;45;205
59;59;59;59
237;276;85;73
132;129;298;298
97;120;106;24
36;36;36;36
288;290;205;234
285;286;106;169
73;73;243;112
241;216;122;49
171;268;59;106
289;120;265;236
132;132;132;132
9;267;197;201
180;228;180;34
102;201;177;41
163;163;163;163
289;289;9;275
25;273;236;236
152;235;152;168
29;125;125;109
45;96;289;289
210;290;207;54
141;264;296;264
239;239;239;239
98;238;57;297
177;73;177;250
119;295;247;174
120;120;120;120
64;43;151;62
95;150;147;118
70;129;24;70
5;202;103;202
22;185;10;151
262;300;300;134
188;212;212;47
185;165;73;87
100;293;100;24
171;185;294;174
5;5;5;5
72;72;72;72
19;88;193;156
68;195;158;23
255;255;257;101
148;148;148;148
145;120;241;100
292;292;292;292
44;42;19;284
63;11;263;274
69;146;277;128
181;105;181;283
171;270;141;233
242;224;149;159
217;152;200;217
29;29;253;123
8;227;213;14
27;132;158;228
185;185;185;185
65;120;109;87
104;41;41;97
290;16;28;138
152;152;152;152
7;7;7;7
239;114;297;79
231;231;231;231
298;84;298;264
264;257;189;243
14;14;14;14
148;293;293;283
90;95;58;153
137;137;137;137
188;198;56;140
12;189;46;274
264;264;224;95
191;227;127;287
113;150;106;236
89;16;252;216
128;270;116;194
198;198;198;198
276;180;91;195
108;108;108;108
151;37;273;45
105;100;5;5
220;220;220;220
28;228;6;183
97;256;252;113
65;129;156;217
275;133;27;170
114;263;71;111
154;94;166;45
234;234;234;234
123;9;17;94
136;52;121;121
97;109;149;229
67;180;161;147
101;47;47;261
167;167;167;167
235;70;167;258
92;235;110;235
198;198;198;198
159;251;286;99
153;35;213;58
219;84;219;191
217;91;196;161
218;185;42;224
289;289;289;289
269;67;42;180
42;29;90;51
239;225;149;229
151;240;151;166
209;230;113;149
157;251;255;109
37;209;267;266
241;190;148;249
142;127;12;195
290;290;290;290
161;161;161;161
201;141;138;127
95;95;95;95
53;53;53;53
147;147;53;84
